storename,storecontract,storeid,storeaddress,storecity,storestate,storezip,storephone,storecountry,latlonlocation,latlonlocationdv
CARQUEST,CarQuest,101280,790 E. SWANSON AVENUE,WASILLA,AK,99654,9073765218,USA,"61.5827037,-149.4305975","61.5827037,-149.4305975"
CARQUEST,CarQuest,101281,316 A MARKET STREET,LEESBURG,VA,20175,7037773070,USA,"39.1129275,-77.5580461","39.1129275,-77.5580461"
CARQUEST,CarQuest,101282,9021 EUCLID AVE,MANASSAS,VA,20110,7033682267,USA,"38.7624778,-77.4508781","38.7624778,-77.4508781"
CARQUEST,CarQuest,101283,1632 EAST GUDE DRIVE,ROCKVILLE,MD,20850,3013099426,USA,"39.0936583,-77.1309889","39.0936583,-77.1309889"
CARQUEST,CarQuest,101284,2722-2724 PITMAN DRIVE,SILVER SPRING,MD,20910,3015899515,USA,"39.0010901,-77.0580423","39.0010901,-77.0580423"
CARQUEST,CarQuest,101285,6520 BACKLICK RD,SPRINGFIELD,VA,22150,7034510700,USA,"38.7781187,-77.1848162","38.7781187,-77.1848162"
CARQUEST,CarQuest,101286,22405 ENTERPRISE ST SUITE 112,STERLING,VA,20164,7034300705,USA,"38.9961904,-77.4073042","38.9961904,-77.4073042"
CARQUEST,CarQuest,101287,2725 OLD WASHINGTON,WALDORF,MD,20601,3018436313,USA,"38.6348349,-76.8988477","38.6348349,-76.8988477"
CARQUEST,CarQuest,101288,400 NORTH MAIN,WATFORD CITY,ND,58854,7018422310,USA,"47.8049735,-103.2828327","47.8049735,-103.2828327"
CARQUEST,CarQuest,101289,6295 HWY 93 SOUTH,WHITEFISH,MT,59937,4068622555,USA,"48.3879148,-114.3359792","48.3879148,-114.3359792"
CARQUEST,CarQuest,101290,6801 E.  KELLOGG DRIVE,WICHITA,KS,67207,3166861330,USA,"37.6786883,-97.2573185","37.6786883,-97.2573185"
CARQUEST,CarQuest,101291,2836 CAROLINA BEACH ROAD,WILMINGTON,NC,28412,9103430291,USA,"34.1847014,-77.9312515","34.1847014,-77.9312515"
CARQUEST,CarQuest,101292,421 SOUTH MAIN ST.,WILDWOOD,FL,34785,3527481011,USA,"28.8565702,-82.0442467","28.8565702,-82.0442467"
CARQUEST,CarQuest,101293,5832 MARKET STREET,WILMINGTON,NC,28405,9107917788,USA,"34.2499539,-77.8570506","34.2499539,-77.8570506"
CARQUEST,CarQuest,101294,1300 2ND AVE. W,WILLISTON,ND,58801,7015722167,USA,"48.1567515,-103.6252369","48.1567515,-103.6252369"
CARQUEST,CarQuest,101295,101 INDUSTRIAL DRIVE,WINDSOR,NS,B0N 2T0,9027985060,CAN,"44.9944623,-64.1183216","44.9944623,-64.1183216"
CARQUEST,CarQuest,101296,2352 CENTRAL AVE,WINDSOR,ON,N8W 4J2,5199484107,CAN,"42.3032705,-82.9785069","42.3032705,-82.9785069"
CARQUEST,CarQuest,101297,30 COMMERCIAL STREET,WINCHESTER,VA,22601,5406674814,USA,"39.1955893,-78.1622328","39.1955893,-78.1622328"
CARQUEST,CarQuest,101298,1210 LINK ROAD,WINSTON SALEM,NC,27103,3367239691,USA,"36.0741301,-80.2565926","36.0741301,-80.2565926"
CARQUEST,CarQuest,101299,320  ELM  ST,WOODLAND,CA,95695-3409,5306624691,USA,"38.6780354,-121.7765754","38.6780354,-121.7765754"
CARQUEST,CarQuest,101300,910 BIG HORN AVE,WORLAND,WY,82401,3073474213,USA,"44.0165132,-107.9566953","44.0165132,-107.9566953"
CARQUEST,CarQuest,101301,56315  29  PALMS HIGHWAY,YUCCA VALLEY,CA,92284,7603650813,USA,"34.1201393,-116.4355598","34.1201393,-116.4355598"
CARQUEST,CarQuest,101302,109 ST-JEAN BAPTISTE,RIGAUD,QC,J0P 1P0,4504514855,CAN,"45.4796349,-74.2941462","45.4796349,-74.2941462"
CARQUEST,CarQuest,101303,380 A RUE DE LA CATHEDRALE,RIMOUSKI,QC,G5L 5K9,4187246435,CAN,"48.4436137,-68.5148416","48.4436137,-68.5148416"
CARQUEST,CarQuest,101304,76 RUE FRASER,RIVIERE-DU-LOUP,QC,G5R 1C6,4188635147,CAN,"47.8387009,-69.5420912","47.8387009,-69.5420912"
CARQUEST,CarQuest,101305,10351 BOUL GOUIN OUEST,ROXBORO,QC,H8Y 1S1,5146842102,CAN,"45.5092332,-73.8007797","45.5092332,-73.8007797"
CARQUEST,CarQuest,101306,483 RUE QUEBEC,SEPT-ILES,QC,G4R 1J8,4189622123,CAN,"50.2153933,-66.3698348","50.2153933,-66.3698348"
CARQUEST,CarQuest,101307,375 12IEME AVENUE,SHAWINIGAN-SUD,QC,G9P 1Z6,8195365255,CAN,"46.5228878,-72.7569327","46.5228878,-72.7569327"
CARQUEST,CarQuest,101308,1150 KING EST,SHERBROOKE,QC,J1G 1E4,8195696321,CAN,"45.4078609,-71.863505","45.4078609,-71.863505"
CARQUEST,CarQuest,101309,217 FISET,SOREL,QC,J3P 3P8,4507422751,CAN,"46.0408547,-73.0999851","46.0408547,-73.0999851"
CARQUEST,CarQuest,101310,2350 DUMESNIL,ST-HYACINTHE,QC,J2S 6H7,4507745331,CAN,"45.6249507,-72.9631952","45.6249507,-72.9631952"
CARQUEST,CarQuest,101311,215 RUE LEONARD,MT-TREMBLANT,QC,J8E 3K1,8194253647,CAN,"46.1113502,-74.5968032","46.1113502,-74.5968032"
CARQUEST,CarQuest,101312,9749 BOUL STE-ANNE,STE-ANNE-DE-BEAUPRE,QC,G0A 3C0,4188274517,CAN,"47.0215823,-70.9323779","47.0215823,-70.9323779"
CARQUEST,CarQuest,101313,1515 ST JEAN BAPTISTE,QUEBEC,QC,G2E 5E2,4186531740,CAN,"46.8017476,-71.3303979","46.8017476,-71.3303979"
CARQUEST,CarQuest,101314,540 SAUVE,ST EUSTACHE,QC,J7R 5A9,4504736800,CAN,"45.5728614,-73.9138875","45.5728614,-73.9138875"
CARQUEST,CarQuest,101315,200 ST JOSEPH,ST-JEAN,QC,J3B 1W7,4503487383,CAN,"45.3140543,-73.2613685","45.3140543,-73.2613685"
CARQUEST,CarQuest,101316,219 RUE ROCHETTE,ST-PASCAL,QC,G0L 3Y0,4184922704,CAN,"47.5294215,-69.8190786","47.5294215,-69.8190786"
CARQUEST,CarQuest,101317,900 RAOUL JOBIN,QUEBEC,QC,G1N 1S9,4186834941,CAN,"46.8058677,-71.2481129","46.8058677,-71.2481129"
CARQUEST,CarQuest,101318,1280 RUE DES SUREAUX,TERREBONNE,QC,J6X 4G4,4504921001,CAN,"45.7201968,-73.657595","45.7201968,-73.657595"
CARQUEST,CarQuest,101319,321 RUE NOTRE-DAME OUEST,VICTORIAVILLE,QC,G6P 1S3,8197524551,CAN,"46.0582081,-71.9663026","46.0582081,-71.9663026"
CARQUEST,CarQuest,101320,4 ROUTE 249,WINDSOR,QC,J1S 2T7,8198453737,CAN,"45.5669297,-72.012117","45.5669297,-72.012117"
CARQUEST,CarQuest,101321,5491 ELECTRON DRIVE,ANCHORAGE,AK,99518,9075611655,USA,"61.1710491,-149.9107688","61.1710491,-149.9107688"
